geo_address_key,street_1_norm,city_norm,state_norm,zip_norm,provider_count,address_variant_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
201 INDEPENDENCE | COLUMBUS | MS | 39710,201 INDEPENDENCE,COLUMBUS,MS,39710,3,3,Census_Geocoder_Second_Pass,unmatched,0,,,,,
201 INDEPENDENCE DR | COLUMBUS AFB | MS | 39710,201 INDEPENDENCE DR,COLUMBUS AFB,MS,39710,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2020 FITTH STREET | DAVIS | CA | 95617,2020 FITTH STREET,DAVIS,CA,95617,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2041 GEORGIA NWAVE 1700 | WASHINGTON | DC | 20060,2041 GEORGIA NWAVE 1700,WASHINGTON,DC,20060,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
205 HORTON | NORMAL | IL | 61790,205 HORTON,NORMAL,IL,61790,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
208 HORTON | NORMAL | IL | 61790,208 HORTON,NORMAL,IL,61790,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2140 STADIUM RD STE 1001 | GAINESVILLE | FL | 32611,2140 STADIUM RD STE 1001,GAINESVILLE,FL,32611,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2150 STADIUM DRIVE | BOULDER | CO | 80309,2150 STADIUM DRIVE,BOULDER,CO,80309,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
225 VON KARMAN ROAD | ARNOLD AIR FORCE BASE | TN | 37389,225 VON KARMAN ROAD,ARNOLD AIR FORCE BASE,TN,37389,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2330 PAYSPHERE CIR | CHICAGO | IL | 60674,2330 PAYSPHERE CIR,CHICAGO,IL,60674,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2361 PAYSPHERE CIR | CHICAGO | IL | 60674,2361 PAYSPHERE CIR,CHICAGO,IL,60674,8,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2361 PAYSPHERE CIRCLE | CHICAGO | IL | 60674,2361 PAYSPHERE CIRCLE,CHICAGO,IL,60674,6,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
238 BROOKLEY AVE | BOLLING AFB | DC | 20332,238 BROOKLEY AVE,BOLLING AFB,DC,20332,3,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
238 BROOKLEY AVE | WASHINGTON | DC | 20338,238 BROOKLEY AVE,WASHINGTON,DC,20338,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2401 E STREET M/MED/DMD/QM SA-1 | WASHINGTON | DC | 20522,2401 E STREET M/MED/DMD/QM SA-1,WASHINGTON,DC,20522,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2406 CENTURY PLACE | HICKORY | NC | 28603,2406 CENTURY PLACE,HICKORY,NC,28603,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2441 21ST STREET | FORT CAMPBELL | KY | 42222,2441 21ST STREET,FORT CAMPBELL,KY,42222,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2495 SHREVEPORT HIGHWAY | ALEXANDRIA | LA | 71306,2495 SHREVEPORT HIGHWAY,ALEXANDRIA,LA,71306,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
250 ARSENAL ST | AUGUSTA | ME | 04333,250 ARSENAL ST,AUGUSTA,ME,04333,4,2,Census_Geocoder_Second_Pass,unmatched,0,,,,,
250 ARSENAL STREET | AUGUSTA | ME | 04333,250 ARSENAL STREET,AUGUSTA,ME,04333,2,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2505 S I35-WEST | BURLESON | TX | 76097,2505 S I35-WEST,BURLESON,TX,76097,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2506 WILDWOOD ROAD | WILDWOOD | PA | 15091,2506 WILDWOOD ROAD,WILDWOOD,PA,15091,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
253 BARKLEY MEMORIAL CENTEER | LINCOLN | NE | 68583,253 BARKLEY MEMORIAL CENTEER,LINCOLN,NE,68583,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
253 BARKLEY MEMORIAL CENTER | LINCOLN | NE | 68583,253 BARKLEY MEMORIAL CENTER,LINCOLN,NE,68583,5,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
254 RT 202-206 NORTH | PLUCKEMIN | NJ | 07978,254 RT 202-206 NORTH,PLUCKEMIN,NJ,07978,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2540 NTH GALLOWAY AVE | MESQUITE | TX | 75151,2540 NTH GALLOWAY AVE,MESQUITE,TX,75151,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2549 MOMENTUM PL | CHICAGO | IL | 60689,2549 MOMENTUM PL,CHICAGO,IL,60689,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2555 JIMMY JOHNSON BLVD | PORT ARTHUR | TX | 77643,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,TX,77643,4,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2600 KIMBALL AVE | MANHATTAN | KS | 66505,2600 KIMBALL AVE,MANHATTAN,KS,66505,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
263 FARMINGTON AVE | FARMINGTON | CT | 06030,263 FARMINGTON AVE,FARMINGTON,CT,06030,157,34,Census_Geocoder_Second_Pass,unmatched,0,,,,,
263 FARMINGTON AVE | FARMINGTON | CT | 06034,263 FARMINGTON AVE,FARMINGTON,CT,06034,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
263 FARMINGTON AVENUE | FARMINGTON | CT | 06030,263 FARMINGTON AVENUE,FARMINGTON,CT,06030,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
277 POST RD | MOODY | ME | 04054,277 POST RD,MOODY,ME,04054,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
280 STAFFORD ROAD | BARSTOW | MD | 20610,280 STAFFORD ROAD,BARSTOW,MD,20610,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2800 SOUTH HIGHWAY 114 | TROPHY CLUB | TX | 76726,2800 SOUTH HIGHWAY 114,TROPHY CLUB,TX,76726,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
2ND AMBULATORY CARE CTR | ALBUQUERQUE | NM | 87131,2ND AMBULATORY CARE CTR,ALBUQUERQUE,NM,87131,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
3 MT AUBURN ST | WATERTOWN | MA | 02172,3 MT AUBURN ST,WATERTOWN,MA,02172,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
30 DUKE MEDICINE CIR | DURHAM | NC | 27710,30 DUKE MEDICINE CIR,DURHAM,NC,27710,1,1,Census_Geocoder_Second_Pass,unmatched,0,,,,,
