request_id,street_1_norm,street_2_norm,city_norm,state_norm,zip_norm,provider_count,geocoding_source,geocoding_status,geocoding_match_count,geocoded_matched_address,provider_latitude,provider_longitude,geocoded_tiger_line_id,geocoded_side
1666,PO BOX 25364,VIP SAL 7616,MIAMI,FL,33102,1,Census_Geocoder,unmatched,0,,,,,
1667,PO BOX 260489,,PLANO,TX,75026,1,Census_Geocoder,unmatched,0,,,,,
1668,PO BOX 26101,,WINSTON SALEM,NC,27114,1,Census_Geocoder,unmatched,0,,,,,
1669,PO BOX 26666,PHS PROVIDER ENROLLMENT,ALBUQUERQUE,NM,87125,1,Census_Geocoder,unmatched,0,,,,,
1670,PO BOX 2768,,SAN ANSELMO,CA,94979,1,Census_Geocoder,unmatched,0,,,,,
1671,PO BOX 2879,,GLEN ALLEN,VA,23058,1,Census_Geocoder,unmatched,0,,,,,
1673,PO BOX 32569,,KNOXVILLE,TN,37930,1,Census_Geocoder,unmatched,0,,,,,
1674,PO BOX 4000,,MOUNTAIN HOME,TN,37684,1,Census_Geocoder,unmatched,0,,,,,
1675,PO BOX 415348,,BOSTON,MA,02241,1,Census_Geocoder,unmatched,0,,,,,
1676,PO BOX 44008,,JACKSONVILLE,FL,32231,1,Census_Geocoder,unmatched,0,,,,,
1677,PO BOX 4780,,BLOOMINGTON,IN,47402,1,Census_Geocoder,unmatched,0,,,,,
1678,PO BOX 487,,LEXINGTON,SC,29071,2,Census_Geocoder,unmatched,0,,,,,
1679,PO BOX 52233,,LAFAYETTE,LA,70505,1,Census_Geocoder,unmatched,0,,,,,
1680,PO BOX 523882,C/O THE MAILBOX #10649,MIAMI,FL,33152,1,Census_Geocoder,unmatched,0,,,,,
1681,PO BOX 570,,SHREVEPORT,LA,71162,1,Census_Geocoder,unmatched,0,,,,,
1682,PO BOX 67000 DEPARTMENT 272801,,DETROIT,MI,48267,1,Census_Geocoder,unmatched,0,,,,,
1683,PO BOX 7227,,WEST COLUMBIA,SC,29171,1,Census_Geocoder,unmatched,0,,,,,
1684,POK C KIMMD,VA HUDSON VALLEY HCS,CASTLE POINT,NE,12511,1,Census_Geocoder,unmatched,0,,,,,
1686,PRIMARY CARE HSTM VETERANS HOSPITAL,800 HOSPITAL DRIVE,COLUMBIA,MO,65212,1,Census_Geocoder,unmatched,0,,,,,
1687,PRO HEALTH PARTNERS,9 BISHOP RD,OXFORD,CT,06487,1,Census_Geocoder,unmatched,0,,,,,
1704,PSC 476 BOX 25,NBHC SASEBO JAPAN,FPO AP,CA,96322,1,Census_Geocoder,unmatched,0,,,,,
1749,PSHCS AMERICAN LAKE DIVISION,9600 VETERAN'S DR,TACOMA,WA,98493,1,Census_Geocoder,unmatched,0,,,,,
1750,PSHCS DENT A-112,9600 VETERANS DRIVE,TACOMA,WA,98493,1,Census_Geocoder,unmatched,0,,,,,
1751,PUGET SOUND HEALTHCARE SYSTEM- ALVA,9600 VETERANS DRIVE,TACOMA,WA,98493,1,Census_Geocoder,unmatched,0,,,,,
1755,REC CENTER PHYSICAL THERAPY,400 COLLINS RD NE 154-100,CEDAR RAPIDS,IA,52498,1,Census_Geocoder,unmatched,0,,,,,
1756,ROCK ISLAND ARSENAL,1 ROCK ISLAND,ROCK ISLAND,IL,61299,1,Census_Geocoder,unmatched,0,,,,,
1757,ROOM 4530 DUKE SOUTH BLUE ZONE BOX 3807,DUKE UNIVERSITY MEDICAL CENTER,DURHAM,NC,27710,1,Census_Geocoder,unmatched,0,,,,,
1758,ROSWELL PARK CANCER INSTITUTE ELM AND CARLTON STREET,,BUFFALO,NY,14263,1,Census_Geocoder,matched,1,"ELM ST & CARLTON ST, BUFFALO, NY, 14203",42.898509525566,-78.86500334534,,
1759,ROUTE 12 BLDG 449,ATTN: PROFESSIONAL AFFAIRS NAVAL AMBULATORY CARE CENTER,GROTON,CT,06349,1,Census_Geocoder,unmatched,0,,,,,
1760,ROUTE 12 BLDG 449,NAVAL AMBULATORY CARE CENTER ATTN PROFESSIONAL AFFAIRS,GROTON,CT,06349,1,Census_Geocoder,unmatched,0,,,,,
1761,ROUTE 12 BLDG 449,NAVAL AMBULATORY CARE CENTER ATTN: PROFESSIONAL AFFAIRS,GROTON,CT,06349,1,Census_Geocoder,unmatched,0,,,,,
1764,SCHOOL OF DENTISTRY FACULTY PRACTICE PLAN,501 S PRESTON ST UNIVERSITY OF LOUISVILLE,LOUISVILLE,KY,40292,1,Census_Geocoder,unmatched,0,,,,,
1766,SENIOR MEDICAL OFFICER,USS THEODORE ROOSEVELT CVN-71,FPO AE,NY,09599,1,Census_Geocoder,unmatched,0,,,,,
1767,SENTARA OBICI HOSPITAL 2800 GODWIN BLVD,ANESTHESIA DEPARTMENT,SUFFOLK,VA,23534,1,Census_Geocoder,unmatched,0,,,,,
1769,SHCC 1 FLETCHER DRIVE,,GAINESVILLE,FL,32611,1,Census_Geocoder,unmatched,0,,,,,
1770,SHCC UNIVERSITY OF FLORIDA CAMPUS,1 FLETCHER DRIVE,GAINESVILLE,FL,32611,1,Census_Geocoder,unmatched,0,,,,,
1771,SIDNEY & LAMONT STREETS,,JOHNSON CITY,TN,37684,1,Census_Geocoder,unmatched,0,,,,,
1772,SIDNEY AND LAMONT STREET,VA MEDICAL CENTER BOX 4000,MOUNTAIN HOME,TN,37684,1,Census_Geocoder,unmatched,0,,,,,
1773,SIDNEY/LAMONT ST,NUTRITION AND FOOD SERVICE (120),MOUNTAIN HOME,TN,37684,1,Census_Geocoder,unmatched,0,,,,,
1774,SOCPAC SOJ07,BLD 20 RM 212,CAMP H M SMITH,HI,96861,1,Census_Geocoder,unmatched,0,,,,,
1775,SOUTHWIRE FAMILY MEDICAL CTR,1128 SOUTHPARK STREET,CARROLLTON,GA,30119,1,Census_Geocoder,unmatched,0,,,,,
