STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio
AE,96350,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,96757,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AE,98431,1,1,0,1,1,1.0,247,0.004048582995951417,1.0,0.0
AK,99501,7,5,2,7,7,1.0,562,0.012455516014234875,0.7142857142857143,0.2857142857142857
AK,99502,4,3,1,4,4,1.0,562,0.0071174377224199285,0.75,0.25
AK,99503,31,27,4,22,31,0.7096774193548387,562,0.05516014234875445,0.8709677419354839,0.12903225806451613
AK,99504,8,5,3,8,8,1.0,562,0.014234875444839857,0.625,0.375
AK,99505,2,2,0,2,2,1.0,562,0.0035587188612099642,1.0,0.0
AK,99506,25,24,1,18,25,0.72,562,0.04448398576512456,0.96,0.04
AK,99507,9,9,0,5,9,0.5555555555555556,562,0.01601423487544484,1.0,0.0
AK,99508,182,159,23,70,182,0.38461538461538464,562,0.3238434163701068,0.8736263736263736,0.12637362637362637
AK,99515,9,8,1,8,9,0.8888888888888888,562,0.01601423487544484,0.8888888888888888,0.1111111111111111
AK,99516,2,2,0,2,2,1.0,562,0.0035587188612099642,1.0,0.0
AK,99517,1,1,0,1,1,1.0,562,0.0017793594306049821,1.0,0.0
AK,99518,1,0,1,1,1,1.0,562,0.0017793594306049821,0.0,1.0
AK,99559,4,4,0,3,4,0.75,562,0.0071174377224199285,1.0,0.0
AK,99574,4,2,2,4,4,1.0,562,0.0071174377224199285,0.5,0.5
AK,99576,12,12,0,5,12,0.4166666666666667,562,0.021352313167259787,1.0,0.0
AK,99577,9,7,2,6,9,0.6666666666666666,562,0.01601423487544484,0.7777777777777778,0.2222222222222222
AK,99588,2,1,1,2,2,1.0,562,0.0035587188612099642,0.5,0.5
AK,99603,13,12,1,12,13,0.9230769230769231,562,0.023131672597864767,0.9230769230769231,0.07692307692307693
AK,99611,4,3,1,3,4,0.75,562,0.0071174377224199285,0.75,0.25
AK,99615,8,3,5,8,8,1.0,562,0.014234875444839857,0.375,0.625
AK,99619,25,25,0,5,25,0.2,562,0.04448398576512456,1.0,0.0
AK,99623,2,1,1,2,2,1.0,562,0.0035587188612099642,0.5,0.5
AK,99627,2,2,0,2,2,1.0,562,0.0035587188612099642,1.0,0.0
AK,99645,15,13,2,10,15,0.6666666666666666,562,0.026690391459074734,0.8666666666666667,0.13333333333333333
AK,99654,23,22,1,18,23,0.782608695652174,562,0.04092526690391459,0.9565217391304348,0.043478260869565216
AK,99664,2,1,1,2,2,1.0,562,0.0035587188612099642,0.5,0.5
AK,99669,21,17,4,19,21,0.9047619047619048,562,0.037366548042704624,0.8095238095238095,0.19047619047619047
AK,99672,1,1,0,1,1,1.0,562,0.0017793594306049821,1.0,0.0
AK,99685,2,0,2,2,2,1.0,562,0.0035587188612099642,0.0,1.0
AK,99688,1,1,0,1,1,1.0,562,0.0017793594306049821,1.0,0.0
AK,99689,1,1,0,1,1,1.0,562,0.0017793594306049821,1.0,0.0
AK,99701,29,25,4,21,29,0.7241379310344828,562,0.051601423487544484,0.8620689655172413,0.13793103448275862
AK,99702,4,3,1,4,4,1.0,562,0.0071174377224199285,0.75,0.25
AK,99703,24,24,0,13,24,0.5416666666666666,562,0.042704626334519574,1.0,0.0
AK,99705,1,1,0,1,1,1.0,562,0.0017793594306049821,1.0,0.0
AK,99709,9,8,1,9,9,1.0,562,0.01601423487544484,0.8888888888888888,0.1111111111111111
AK,99712,1,0,1,1,1,1.0,562,0.0017793594306049821,0.0,1.0
AK,99723,1,0,1,1,1,1.0,562,0.0017793594306049821,0.0,1.0
AK,99737,1,1,0,1,1,1.0,562,0.0017793594306049821,1.0,0.0
AK,99752,4,4,0,4,4,1.0,562,0.0071174377224199285,1.0,0.0
AK,99780,2,1,1,2,2,1.0,562,0.0035587188612099642,0.5,0.5
AK,99801,24,19,5,20,24,0.8333333333333334,562,0.042704626334519574,0.7916666666666666,0.20833333333333334
AK,99827,2,1,1,2,2,1.0,562,0.0035587188612099642,0.5,0.5
AK,99835,14,8,6,10,14,0.7142857142857143,562,0.02491103202846975,0.5714285714285714,0.42857142857142855
AK,99901,9,6,3,7,9,0.7777777777777778,562,0.01601423487544484,0.6666666666666666,0.3333333333333333
AK,99921,2,2,0,2,2,1.0,562,0.0035587188612099642,1.0,0.0
AK,99925,2,1,1,2,2,1.0,562,0.0035587188612099642,0.5,0.5
AK,99929,1,1,0,1,1,1.0,562,0.0017793594306049821,1.0,0.0
AL,18105,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,30033,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35004,4,3,1,3,4,0.75,3489,0.0011464603038119805,0.75,0.25
AL,35005,4,4,0,4,4,1.0,3489,0.0011464603038119805,1.0,0.0
AL,35007,34,27,7,21,34,0.6176470588235294,3489,0.009744912582401835,0.7941176470588235,0.20588235294117646
AL,35010,14,8,6,11,14,0.7857142857142857,3489,0.004012611063341932,0.5714285714285714,0.42857142857142855
AL,35014,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35016,6,6,0,4,6,0.6666666666666666,3489,0.0017196904557179708,1.0,0.0
AL,35020,11,5,6,9,11,0.8181818181818182,3489,0.0031527658354829464,0.45454545454545453,0.5454545454545454
AL,35021,2,2,0,1,2,0.5,3489,0.0005732301519059903,1.0,0.0
AL,35022,23,18,5,15,23,0.6521739130434783,3489,0.006592146746918888,0.782608695652174,0.21739130434782608
AL,35023,9,4,5,7,9,0.7777777777777778,3489,0.0025795356835769563,0.4444444444444444,0.5555555555555556
AL,35031,1,1,0,1,1,1.0,3489,0.00028661507595299513,1.0,0.0
AL,35033,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35034,2,2,0,2,2,1.0,3489,0.0005732301519059903,1.0,0.0
AL,35040,4,4,0,3,4,0.75,3489,0.0011464603038119805,1.0,0.0
AL,35043,3,3,0,3,3,1.0,3489,0.0008598452278589854,1.0,0.0
AL,35045,13,9,4,9,13,0.6923076923076923,3489,0.003725995987388937,0.6923076923076923,0.3076923076923077
AL,35051,2,2,0,2,2,1.0,3489,0.0005732301519059903,1.0,0.0
AL,35052,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35055,24,16,8,19,24,0.7916666666666666,3489,0.006878761822871883,0.6666666666666666,0.3333333333333333
AL,35058,36,30,6,25,36,0.6944444444444444,3489,0.010318142734307825,0.8333333333333334,0.16666666666666666
AL,35068,2,0,2,2,2,1.0,3489,0.0005732301519059903,0.0,1.0
AL,35071,11,6,5,11,11,1.0,3489,0.0031527658354829464,0.5454545454545454,0.45454545454545453
AL,35072,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35077,1,0,1,1,1,1.0,3489,0.00028661507595299513,0.0,1.0
AL,35080,4,3,1,4,4,1.0,3489,0.0011464603038119805,0.75,0.25
