STATE_CLEAN,ZIP_CLEAN,provider_count,individual_provider_count,organization_provider_count,unique_specialty_count,providers_with_specialty,specialty_diversity_ratio,state_provider_count,zip_provider_share_of_state,individual_provider_ratio,organization_provider_ratio,population,providers_per_10000,individual_providers_per_10000,organization_providers_per_10000
AE,09636,7,7,0,7,7,1.0,247,0.0283400809716599,1.0,0.0,,,,
AE,09645,11,10,1,10,11,0.9090909090909092,247,0.0445344129554655,0.9090909090909092,0.0909090909090909,,,,
AE,09705,3,2,1,3,3,1.0,247,0.0121457489878542,0.6666666666666666,0.3333333333333333,,,,
AE,09728,3,3,0,3,3,1.0,247,0.0121457489878542,1.0,0.0,,,,
AE,09810,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,09834,2,2,0,2,2,1.0,247,0.0080971659919028,1.0,0.0,,,,
AE,09835,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,23434,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,52556.0,0.19027323236167137,0.19027323236167137,0.0
AE,96350,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AE,96757,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,800.0,12.5,12.5,0.0
AE,98431,1,1,0,1,1,1.0,247,0.0040485829959514,1.0,0.0,,,,
AK,99501,7,5,2,7,7,1.0,562,0.0124555160142348,0.7142857142857143,0.2857142857142857,16563.0,4.226287508301636,3.018776791644026,1.2075107166576105
AK,99502,4,3,1,4,4,1.0,562,0.0071174377224199,0.75,0.25,26110.0,1.5319800842589046,1.1489850631941785,0.38299502106472616
AK,99503,31,27,4,22,31,0.7096774193548387,562,0.0551601423487544,0.8709677419354839,0.1290322580645161,12944.0,23.94932014833127,20.859085290482078,3.0902348578491963
AK,99504,8,5,3,8,8,1.0,562,0.0142348754448398,0.625,0.375,41684.0,1.919201612129354,1.1995010075808463,0.7197006045485078
AK,99505,2,2,0,2,2,1.0,562,0.0035587188612099,1.0,0.0,5425.0,3.686635944700461,3.686635944700461,0.0
AK,99506,25,24,1,18,25,0.72,562,0.0444839857651245,0.96,0.04,7051.0,35.455963693093175,34.03772514536945,1.4182385477237271
AK,99507,9,9,0,5,9,0.5555555555555556,562,0.0160142348754448,1.0,0.0,36300.0,2.479338842975207,2.479338842975207,0.0
AK,99508,182,159,23,70,182,0.3846153846153846,562,0.3238434163701068,0.8736263736263736,0.1263736263736263,36660.0,49.64539007092199,43.371522094926355,6.273867975995635
AK,99515,9,8,1,8,9,0.8888888888888888,562,0.0160142348754448,0.8888888888888888,0.1111111111111111,21879.0,4.113533525298231,3.6564742447095386,0.45705928058869233
AK,99516,2,2,0,2,2,1.0,562,0.0035587188612099,1.0,0.0,21208.0,0.9430403621274991,0.9430403621274991,0.0
AK,99517,1,1,0,1,1,1.0,562,0.0017793594306049,1.0,0.0,16567.0,0.6036095853202149,0.6036095853202149,0.0
AK,99518,1,0,1,1,1,1.0,562,0.0017793594306049,0.0,1.0,9837.0,1.0165700925078784,0.0,1.0165700925078784
AK,99559,4,4,0,3,4,0.75,562,0.0071174377224199,1.0,0.0,7272.0,5.5005500550055,5.5005500550055,0.0
AK,99574,4,2,2,4,4,1.0,562,0.0071174377224199,0.5,0.5,2517.0,15.891934843067144,7.945967421533572,7.945967421533572
AK,99576,12,12,0,5,12,0.4166666666666667,562,0.0213523131672597,1.0,0.0,2464.0,48.7012987012987,48.7012987012987,0.0
AK,99577,9,7,2,6,9,0.6666666666666666,562,0.0160142348754448,0.7777777777777778,0.2222222222222222,27917.0,3.22384210337787,2.5074327470716766,0.7164093563061934
AK,99588,2,1,1,2,2,1.0,562,0.0035587188612099,0.5,0.5,1138.0,17.57469244288225,8.787346221441124,8.787346221441124
AK,99603,13,12,1,12,13,0.9230769230769232,562,0.0231316725978647,0.9230769230769232,0.0769230769230769,11557.0,11.24859392575928,10.383317469931644,0.8652764558276369
AK,99611,4,3,1,3,4,0.75,562,0.0071174377224199,0.75,0.25,16028.0,2.495632642874969,1.8717244821562264,0.6239081607187422
AK,99615,8,3,5,8,8,1.0,562,0.0142348754448398,0.375,0.625,12304.0,6.501950585175553,2.4382314694408325,4.06371911573472
AK,99619,25,25,0,5,25,0.2,562,0.0444839857651245,1.0,0.0,,,,
AK,99623,2,1,1,2,2,1.0,562,0.0035587188612099,0.5,0.5,22786.0,0.8777319406653208,0.4388659703326604,0.4388659703326604
AK,99627,2,2,0,2,2,1.0,562,0.0035587188612099,1.0,0.0,195.0,102.56410256410257,102.56410256410257,0.0
AK,99645,15,13,2,10,15,0.6666666666666666,562,0.0266903914590747,0.8666666666666667,0.1333333333333333,31494.0,4.762811964183654,4.127770368959167,0.6350415952244872
AK,99654,23,22,1,18,23,0.782608695652174,562,0.0409252669039145,0.9565217391304348,0.0434782608695652,44420.0,5.177847816298964,4.952723998199009,0.22512381809995496
